experiment,family,rho,epsilon,one_minus_rho,premium,spectral_gap,perron_condition,rho_worst
minimal_relative_slack,scalar,0.3,0.0025,0.7,8.163265306122452e-06,,,0.3025
absolute_gamma_derivative,scalar,0.3,0.0025,0.7,2.3323615160349865e-05,,,0.3025
matrix_resolvent,rank1,0.3,0.0025,0.7,2.3167398871030545e-05,0.3000000000000001,1.0882537161851382,0.30229725840841937
matrix_resolvent,block,0.3,0.0025,0.7,2.258607307426459e-05,0.12363075312847047,1.1246383171941479,0.3022229368871559
matrix_resolvent,near_degenerate,0.3,0.0025,0.7,2.3360457585167182e-05,0.2942591305293638,1.0249431218299943,0.30243915974140706
matrix_resolvent,sparse,0.3,0.0025,0.7,1.963079818396736e-05,0.07492124840767797,2.988162461081232,0.30083663456473997
minimal_relative_slack,scalar,0.5,0.0025,0.5,1.6000000000000003e-05,,,0.5025
absolute_gamma_derivative,scalar,0.5,0.0025,0.5,6.400000000000001e-05,,,0.5025
matrix_resolvent,rank1,0.5,0.0025,0.5,6.501404462559606e-05,0.49999999999999994,1.0662481955798124,0.502344669853008
matrix_resolvent,block,0.5,0.0025,0.5,6.42477500073568e-05,0.2106353104931461,1.0431299276500783,0.5023966333758937
matrix_resolvent,near_degenerate,0.5,0.0025,0.5,6.512466383487095e-05,0.47575742493384426,1.075484852521933,0.5023245329714663
matrix_resolvent,sparse,0.5,0.0025,0.5,6.460078959611906e-05,0.23409451559803035,1.0099291401421564,0.5024754211960331
minimal_relative_slack,scalar,0.7,0.0025,0.30000000000000004,4.444444444444444e-05,,,0.7024999999999999
absolute_gamma_derivative,scalar,0.7,0.0025,0.30000000000000004,0.0002962962962962962,,,0.7024999999999999
matrix_resolvent,rank1,0.7,0.0025,0.30000000000000004,0.00031727312754536573,0.7000000000000002,1.1283279697037774,0.702215667844037
matrix_resolvent,block,0.7,0.0025,0.30000000000000004,0.00030369012494224423,0.3105002470155926,1.0751935929333258,0.7023251626650602
matrix_resolvent,near_degenerate,0.7,0.0025,0.30000000000000004,0.0003191052584388416,0.6988503092561585,1.1407464151653461,0.702191547540071
matrix_resolvent,sparse,0.7,0.0025,0.30000000000000004,0.0003430743968764006,0.5441786405716997,1.3331148995473212,0.7018753072228412
minimal_relative_slack,scalar,0.85,0.0025,0.15000000000000002,0.00017777777777777776,,,0.8524999999999999
absolute_gamma_derivative,scalar,0.85,0.0025,0.15000000000000002,0.0023703703703703695,,,0.8524999999999999
matrix_resolvent,rank1,0.85,0.0025,0.15000000000000002,0.0025260963440116597,0.8499999999999995,1.0567535781636817,0.8523657360160958
matrix_resolvent,block,0.85,0.0025,0.15000000000000002,0.0026206356512556684,0.29521835714496647,1.1751840437081322,0.8521273263650783
matrix_resolvent,near_degenerate,0.85,0.0025,0.15000000000000002,0.0025222751283035336,0.845020501260218,1.054773316591053,0.8523701775165113
matrix_resolvent,sparse,0.85,0.0025,0.15000000000000002,0.0028133654902486116,0.3782695319158204,1.2243074155433118,0.852041970805911
minimal_relative_slack,scalar,0.92,0.0025,0.07999999999999996,0.0006250000000000008,,,0.9225
absolute_gamma_derivative,scalar,0.92,0.0025,0.07999999999999996,0.015625000000000028,,,0.9225
matrix_resolvent,rank1,0.92,0.0025,0.07999999999999996,0.016997353805208195,0.9200000000000004,1.0464777515169115,0.9223889662215717
matrix_resolvent,block,0.92,0.0025,0.07999999999999996,0.01725418518146066,0.3524136368581111,1.0777258042729663,0.9223196994913643
matrix_resolvent,near_degenerate,0.92,0.0025,0.07999999999999996,0.017460622836825496,0.9106467034849752,1.0815622242237544,0.9223114712625926
matrix_resolvent,sparse,0.92,0.0025,0.07999999999999996,0.03336219812152794,0.48252869295146245,2.2193725693034345,0.9211264444891227
minimal_relative_slack,scalar,0.3,0.005,0.7,1.6326530612244903e-05,,,0.305
absolute_gamma_derivative,scalar,0.3,0.005,0.7,4.664723032069973e-05,,,0.305
matrix_resolvent,rank1,0.3,0.005,0.7,4.635429338032395e-05,0.2999999999999998,1.135011083444091,0.30440524332575497
matrix_resolvent,block,0.3,0.005,0.7,4.538610533750003e-05,0.11720008431987225,1.1494095641525857,0.304350059505279
matrix_resolvent,near_degenerate,0.3,0.005,0.7,4.682011454010251e-05,0.2849592968666727,1.0453007694412355,0.3047833122735311
matrix_resolvent,sparse,0.3,0.005,0.7,4.5882922021566944e-05,0.18375935309464925,1.466957990098635,0.30340841389715834
minimal_relative_slack,scalar,0.5,0.005,0.5,3.2000000000000005e-05,,,0.505
absolute_gamma_derivative,scalar,0.5,0.005,0.5,0.00012800000000000002,,,0.505
matrix_resolvent,rank1,0.5,0.005,0.5,0.00013417164985750105,0.49999999999999994,1.211024889564674,0.5041287343002484
matrix_resolvent,block,0.5,0.005,0.5,0.0001296833753628178,0.284789907318324,1.0626378956650822,0.5047052716832292
matrix_resolvent,near_degenerate,0.5,0.005,0.5,0.00013121236560295984,0.495751487824279,1.0819257397019413,0.5046213892659368
matrix_resolvent,sparse,0.5,0.005,0.5,0.00020789991349287506,0.22916459607400003,3.1403962304049466,0.501592155776902
minimal_relative_slack,scalar,0.7,0.005,0.30000000000000004,8.888888888888888e-05,,,0.705
absolute_gamma_derivative,scalar,0.7,0.005,0.30000000000000004,0.0005925925925925924,,,0.705
matrix_resolvent,rank1,0.7,0.005,0.30000000000000004,0.0006784114787332214,0.7,1.253464698872229,0.7039889436092606
matrix_resolvent,block,0.7,0.005,0.30000000000000004,0.0006328510626306212,0.2992459405150872,1.2148112795545996,0.7041158656362103
matrix_resolvent,near_degenerate,0.7,0.005,0.30000000000000004,0.0006188658138087704,0.6858184849704667,1.0428164402273556,0.7047947076849971
matrix_resolvent,sparse,0.7,0.005,0.30000000000000004,0.0010209016078232707,0.2294128648999978,2.557535275183908,0.7019550072480005
minimal_relative_slack,scalar,0.85,0.005,0.15000000000000002,0.0003555555555555555,,,0.855
absolute_gamma_derivative,scalar,0.85,0.005,0.15000000000000002,0.004740740740740739,,,0.855
matrix_resolvent,rank1,0.85,0.005,0.15000000000000002,0.005326832017708273,0.8500000000000001,1.1009576848872298,0.8545415006122716
matrix_resolvent,block,0.85,0.005,0.15000000000000002,0.005258271805659081,0.3598102972854341,1.112415194989443,0.854494724651841
matrix_resolvent,near_degenerate,0.85,0.005,0.15000000000000002,0.005322716879508209,0.8073637931103601,1.1000704437366828,0.8545451634742739
matrix_resolvent,sparse,0.85,0.005,0.15000000000000002,0.005494362512822318,0.6893043907731398,1.1465680643400333,0.8543608401066702
minimal_relative_slack,scalar,0.92,0.005,0.07999999999999996,0.0012500000000000015,,,0.925
absolute_gamma_derivative,scalar,0.92,0.005,0.07999999999999996,0.031250000000000056,,,0.925
matrix_resolvent,rank1,0.92,0.005,0.07999999999999996,0.03746931620064316,0.9200000000000003,1.116373991515375,0.9244787858172986
matrix_resolvent,block,0.92,0.005,0.07999999999999996,0.03803730639714463,0.32815197600060253,1.167271186953639,0.9242834947490246
matrix_resolvent,near_degenerate,0.92,0.005,0.07999999999999996,0.03508477713306311,0.9016217290786779,1.024865814035285,0.924878687464765
matrix_resolvent,sparse,0.92,0.005,0.07999999999999996,0.03631196687821439,0.6254600577298114,1.0762361634723157,0.9246458204711029
minimal_relative_slack,scalar,0.3,0.01,0.7,3.265306122448981e-05,,,0.31
absolute_gamma_derivative,scalar,0.3,0.01,0.7,9.329446064139946e-05,,,0.31
matrix_resolvent,rank1,0.3,0.01,0.7,9.467701335299097e-05,0.2999999999999999,1.0423343098705808,0.30959385094139474
matrix_resolvent,block,0.3,0.01,0.7,8.949811995224195e-05,0.09776503042903592,1.1938197700068272,0.3083764737787371
matrix_resolvent,near_degenerate,0.3,0.01,0.7,9.472730255802589e-05,0.28859196162412226,1.0367238025861851,0.30964577062381904
matrix_resolvent,sparse,0.3,0.01,0.7,9.049137185302527e-05,0.18639013154861317,1.3925826496790688,0.3071809023344539
minimal_relative_slack,scalar,0.5,0.01,0.5,6.400000000000001e-05,,,0.51
absolute_gamma_derivative,scalar,0.5,0.01,0.5,0.00025600000000000004,,,0.51
matrix_resolvent,rank1,0.5,0.01,0.5,0.0002668415570961742,0.5,1.0965223057400173,0.5091197415206719
matrix_resolvent,block,0.5,0.01,0.5,0.0002604092986960396,0.19748872564512732,1.1154108779619991,0.5089653061464413
matrix_resolvent,near_degenerate,0.5,0.01,0.5,0.0002645348753030007,0.49590034392426224,1.0244129938994062,0.5097616879711132
matrix_resolvent,sparse,0.5,0.01,0.5,0.0002589266967296439,0.22398709646001336,1.4195602266184264,0.5070444351796335
minimal_relative_slack,scalar,0.7,0.01,0.30000000000000004,0.00017777777777777776,,,0.71
absolute_gamma_derivative,scalar,0.7,0.01,0.30000000000000004,0.0011851851851851847,,,0.71
matrix_resolvent,rank1,0.7,0.01,0.30000000000000004,0.0013456592349727517,0.6999999999999996,1.1849011453209666,0.7084395226044709
matrix_resolvent,block,0.7,0.01,0.30000000000000004,0.0012684595016362978,0.3010625486140217,1.0733994639249957,0.7093161961935723
matrix_resolvent,near_degenerate,0.7,0.01,0.30000000000000004,0.0012557496801244015,0.6782020861235568,1.0176157512979602,0.7098268919159763
matrix_resolvent,sparse,0.7,0.01,0.30000000000000004,0.001659408033764271,0.3022629470114845,1.752833635623403,0.7057050479844563
minimal_relative_slack,scalar,0.85,0.01,0.15000000000000002,0.000711111111111111,,,0.86
absolute_gamma_derivative,scalar,0.85,0.01,0.15000000000000002,0.009481481481481478,,,0.86
matrix_resolvent,rank1,0.85,0.01,0.15000000000000002,0.010750644910746667,0.8499999999999998,1.0355723278094788,0.8596564959602121
matrix_resolvent,block,0.85,0.01,0.15000000000000002,0.01100785008070278,0.44991997012703144,1.0986681602692228,0.859101929373788
matrix_resolvent,near_degenerate,0.85,0.01,0.15000000000000002,0.011313298559830105,0.8070133139579746,1.1205798665446765,0.8589239511600681
matrix_resolvent,sparse,0.85,0.01,0.15000000000000002,0.013784234113559229,0.22094879267836753,1.5902636485395216,0.856288265476722
minimal_relative_slack,scalar,0.92,0.01,0.07999999999999996,0.002500000000000003,,,0.93
absolute_gamma_derivative,scalar,0.92,0.01,0.07999999999999996,0.06250000000000011,,,0.93
matrix_resolvent,rank1,0.92,0.01,0.07999999999999996,0.08347204567989225,0.9199999999999996,1.1398224056073598,0.9287732965686626
matrix_resolvent,block,0.92,0.01,0.07999999999999996,0.08112013252755251,0.34498360374776227,1.1249780391357538,0.928889062410214
matrix_resolvent,near_degenerate,0.92,0.01,0.07999999999999996,0.07896137640971311,0.9048839956282297,1.0496352248305338,0.9295271192919564
matrix_resolvent,sparse,0.92,0.01,0.07999999999999996,0.0878701169579459,0.1147573277488354,1.2481085893421222,0.9280121233724318
minimal_relative_slack,scalar,0.3,0.02,0.7,6.530612244897961e-05,,,0.32
absolute_gamma_derivative,scalar,0.3,0.02,0.7,0.00018658892128279892,,,0.32
matrix_resolvent,rank1,0.3,0.02,0.7,0.00019339507168456436,0.29999999999999993,1.0436136907487996,0.31916417940593483
matrix_resolvent,block,0.3,0.02,0.7,0.00019033584378028224,0.15660321524727916,1.084094905759878,0.31844856930305543
matrix_resolvent,near_degenerate,0.3,0.02,0.7,0.00019215609938457164,0.29725189761850895,1.0873479015882443,0.3183933771066159
matrix_resolvent,sparse,0.3,0.02,0.7,0.00019446147511816678,0.15912585702436835,1.0166414895741953,0.3196726183272109
minimal_relative_slack,scalar,0.5,0.02,0.5,0.00012800000000000002,,,0.52
absolute_gamma_derivative,scalar,0.5,0.02,0.5,0.0005120000000000001,,,0.52
matrix_resolvent,rank1,0.5,0.02,0.5,0.0005623980070197135,0.5,1.2503020462409047,0.5159961347421056
matrix_resolvent,block,0.5,0.02,0.5,0.0005399658328816301,0.19760446958153788,1.063150442284289,0.5188120130552993
matrix_resolvent,near_degenerate,0.5,0.02,0.5,0.0005456732712032945,0.4824337142264258,1.0273482935021834,0.519467594511518
matrix_resolvent,sparse,0.5,0.02,0.5,0.0005468028560663271,0.2522068040969101,1.6599169222778325,0.5120487957750044
minimal_relative_slack,scalar,0.7,0.02,0.30000000000000004,0.0003555555555555555,,,0.72
absolute_gamma_derivative,scalar,0.7,0.02,0.30000000000000004,0.0023703703703703695,,,0.72
matrix_resolvent,rank1,0.7,0.02,0.30000000000000004,0.0027651748512475052,0.6999999999999997,1.1370411835478846,0.7175895124023511
matrix_resolvent,block,0.7,0.02,0.30000000000000004,0.0026483419453549374,0.3479216735010645,1.0446873658613056,0.7191444834632515
matrix_resolvent,near_degenerate,0.7,0.02,0.30000000000000004,0.0027036892751004303,0.6643773610991774,1.0774830530431583,0.7185617768590544
matrix_resolvent,sparse,0.7,0.02,0.30000000000000004,0.005784492662359549,0.42187533532185706,3.4619192513515338,0.7057771422577784
minimal_relative_slack,scalar,0.85,0.02,0.15000000000000002,0.001422222222222222,,,0.87
absolute_gamma_derivative,scalar,0.85,0.02,0.15000000000000002,0.018962962962962956,,,0.87
matrix_resolvent,rank1,0.85,0.02,0.15000000000000002,0.025905794052896603,0.8499999999999998,1.1899175649926033,0.8668078870237741
matrix_resolvent,block,0.85,0.02,0.15000000000000002,0.02452048103454614,0.4878736713333615,1.0968413196346414,0.8682341781276637
matrix_resolvent,near_degenerate,0.85,0.02,0.15000000000000002,0.023944028144496008,0.8181681426054285,1.0325994577367998,0.8693685943277901
matrix_resolvent,sparse,0.85,0.02,0.15000000000000002,0.024768732483778002,0.4623514727082437,1.1352911087233044,0.8676166270010635
minimal_relative_slack,scalar,0.92,0.02,0.07999999999999996,0.005000000000000006,,,0.9400000000000001
absolute_gamma_derivative,scalar,0.92,0.02,0.07999999999999996,0.12500000000000022,,,0.9400000000000001
matrix_resolvent,rank1,0.92,0.02,0.07999999999999996,0.19549123133419263,0.9200000000000002,1.0156055859008453,0.9396926841262502
matrix_resolvent,block,0.92,0.02,0.07999999999999996,0.19643865098476695,0.42518419318958806,1.0426679557132457,0.9391815619636257
matrix_resolvent,near_degenerate,0.92,0.02,0.07999999999999996,0.19671817878546358,0.8692272030989256,1.0333126456131714,0.9393552262085516
matrix_resolvent,sparse,0.92,0.02,0.07999999999999996,0.34529807150552444,0.5720662237306309,2.462413374551126,0.9281221131296226
minimal_relative_slack,scalar,0.3,0.05,0.7,0.00016326530612244903,,,0.35
absolute_gamma_derivative,scalar,0.3,0.05,0.7,0.0004664723032069972,,,0.35
matrix_resolvent,rank1,0.3,0.05,0.7,0.00051671190343502,0.3000000000000003,1.041817776382083,0.34799303787427677
matrix_resolvent,block,0.3,0.05,0.7,0.0005128007935116259,0.1560674984867657,1.0480898190416104,0.3477058350263531
matrix_resolvent,near_degenerate,0.3,0.05,0.7,0.0005171395253982247,0.2947259877978857,1.0387619072383858,0.3481342256118423
matrix_resolvent,sparse,0.3,0.05,0.7,0.0005163174208942394,0.16611905065708482,1.0644297181578493,0.34697350999043186
minimal_relative_slack,scalar,0.5,0.05,0.5,0.00032,,,0.55
absolute_gamma_derivative,scalar,0.5,0.05,0.5,0.00128,,,0.55
matrix_resolvent,rank1,0.5,0.05,0.5,0.0015058721147187585,0.5000000000000003,1.1207763498899452,0.5446119335092233
matrix_resolvent,block,0.5,0.05,0.5,0.0014780558504335973,0.25045532618779126,1.0827747044559206,0.5461776580060795
matrix_resolvent,near_degenerate,0.5,0.05,0.5,0.0015018450004501702,0.4947817897415445,1.0572431491148502,0.5472928105912633
matrix_resolvent,sparse,0.5,0.05,0.5,0.0015036172440573866,0.2857075012722206,1.1620866232704472,0.5430260524463182
minimal_relative_slack,scalar,0.7,0.05,0.30000000000000004,0.0008888888888888888,,,0.75
absolute_gamma_derivative,scalar,0.7,0.05,0.30000000000000004,0.005925925925925923,,,0.75
matrix_resolvent,rank1,0.7,0.05,0.30000000000000004,0.008022231129516335,0.7,1.1201715316883303,0.7446360209892494
matrix_resolvent,block,0.7,0.05,0.30000000000000004,0.007809413835024222,0.31117613640293584,1.1616557795784945,0.7430420102744562
matrix_resolvent,near_degenerate,0.7,0.05,0.30000000000000004,0.007869486712633779,0.6728323583956374,1.0335338919673611,0.7483777071933492
matrix_resolvent,sparse,0.7,0.05,0.30000000000000004,0.008137893369198412,0.42491923100929746,1.1707324148603078,0.7427083075221459
minimal_relative_slack,scalar,0.85,0.05,0.15000000000000002,0.0035555555555555553,,,0.9
absolute_gamma_derivative,scalar,0.85,0.05,0.15000000000000002,0.047407407407407384,,,0.9
matrix_resolvent,rank1,0.85,0.05,0.15000000000000002,0.08930043890720579,0.8499999999999999,1.116735613220884,0.894773354953542
matrix_resolvent,block,0.85,0.05,0.15000000000000002,0.08789159028106167,0.35769012186801563,1.073988329399214,0.8965554407169103
matrix_resolvent,near_degenerate,0.85,0.05,0.15000000000000002,0.08900969218803641,0.8494302279895822,1.0788016505770281,0.8963477229324368
matrix_resolvent,sparse,0.85,0.05,0.15000000000000002,0.09284302440972242,0.4078666238981633,1.347914123187411,0.8870943512942568
minimal_relative_slack,scalar,0.92,0.05,0.07999999999999996,0.012500000000000015,,,0.9700000000000001
absolute_gamma_derivative,scalar,0.92,0.05,0.07999999999999996,0.3125000000000005,,,0.9700000000000001
matrix_resolvent,rank1,0.92,0.05,0.07999999999999996,1.1577159091347555,0.9199999999999997,1.2383036417011881,0.9603778187483244
matrix_resolvent,block,0.92,0.05,0.07999999999999996,1.2652340425576554,0.3972377206245702,1.1225819815688882,0.9645401768609542
matrix_resolvent,near_degenerate,0.92,0.05,0.07999999999999996,1.4141006265102718,0.9007912959230654,1.0438714164009557,0.9678986197096844
matrix_resolvent,sparse,0.92,0.05,0.07999999999999996,1.0922534588402684,0.19039543110895507,1.361735465737889,0.9567178510496568
